Rep,Durum,Baslangic Zamani,Bitis Zamani,Sure (saniye),Vucut Acisi,Dirsek Acisi
1,Basarisiz,2025-08-07 11:46:38.317567,2025-08-07 11:46:40.566053,,157.50,160.27
1,Basarisiz,2025-08-07 11:46:46.502258,2025-08-07 11:46:47.898247,,149.04,163.24
1,Basarisiz,2025-08-07 11:46:52.902313,2025-08-07 11:46:55.231876,,157.81,160.50
